F [GHz],dB(S11)
4.000000000000002,-1.492353210507119
4.005000000000002,-1.501210582022810
4.010000000000002,-1.510126607541123
4.015000000000002,-1.519101729859428
4.020000000000002,-1.528136395434171
4.025000000000002,-1.537231054412939
4.030000000000002,-1.546386160666778
4.035000000000002,-1.555602171822832
4.040000000000002,-1.564879549297293
4.045000000000002,-1.574218758328658
4.050000000000002,-1.583620268011290
4.055000000000002,-1.593084551329306
4.060000000000002,-1.602612085190775
4.065000000000002,-1.612203350462281
4.070000000000002,-1.621858832003741
4.075000000000002,-1.631579018703638
4.080000000000002,-1.641364403514535
4.085000000000002,-1.651215483488932
4.090000000000002,-1.661132759815500
4.095000000000002,-1.671116737855653
4.100000000000002,-1.681167927180447
4.105000000000002,-1.691286841607870
4.110000000000002,-1.701473999240477
4.115000000000002,-1.711729922503396
4.120000000000002,-1.722055138182698
4.125000000000002,-1.732450177464175
4.130000000000002,-1.742915575972452
4.135000000000002,-1.753451873810509
4.140000000000002,-1.764059615599595
4.145000000000002,-1.774739350519556
4.150000000000002,-1.785491632349520
4.155000000000002,-1.796317019509017
4.160000000000002,-1.807216075099520
4.165000000000002,-1.818189366946395
4.170000000000002,-1.829237467641234
4.175000000000002,-1.840360954584714
4.180000000000002,-1.851560410029775
4.185000000000002,-1.862836421125331
4.190000000000002,-1.874189579960405
4.195000000000002,-1.885620483608651
4.200000000000002,-1.897129734173457
4.205000000000002,-1.908717938833419
4.210000000000002,-1.920385709888314
4.215000000000002,-1.932133664805585
4.220000000000002,-1.943962426267266
4.225000000000002,-1.955872622217448
4.230000000000002,-1.967864885910200
4.235000000000002,-1.979939855958036
4.240000000000002,-1.992098176380919
4.245000000000002,-2.004340496655702
4.250000000000002,-2.016667471766203
4.255000000000002,-2.029079762253796
4.260000000000003,-2.041578034268481
4.265000000000002,-2.054162959620619
4.270000000000002,-2.066835215833184
4.275000000000002,-2.079595486194566
4.280000000000002,-2.092444459812024
4.285000000000002,-2.105382831665686
4.290000000000002,-2.118411302663167
4.295000000000002,-2.131530579694816
4.300000000000003,-2.144741375689590
4.305000000000002,-2.158044409671542
4.310000000000002,-2.171440406816979
4.315000000000002,-2.184930098512264
4.320000000000002,-2.198514222412317
4.325000000000002,-2.212193522499758
4.330000000000002,-2.225968749144772
4.335000000000002,-2.239840659165667
4.340000000000002,-2.253810015890173
4.345000000000002,-2.267877589217435
4.350000000000002,-2.282044155680775
4.355000000000002,-2.296310498511235
4.360000000000002,-2.310677407701832
4.365000000000002,-2.325145680072639
4.370000000000002,-2.339716119336696
4.375000000000002,-2.354389536166666
4.380000000000002,-2.369166748262386
4.385000000000003,-2.384048580419214
4.390000000000002,-2.399035864597280
4.395000000000002,-2.414129439991616
4.400000000000002,-2.429330153103143
4.405000000000002,-2.444638857810605
4.410000000000002,-2.460056415443447
4.415000000000002,-2.475583694855611
4.420000000000002,-2.491221572500303
4.425000000000003,-2.506970932505809
4.430000000000002,-2.522832666752225
4.435000000000002,-2.538807674949299
4.440000000000002,-2.554896864715288
4.445000000000002,-2.571101151656868
4.450000000000002,-2.587421459450196
4.455000000000002,-2.603858719923034
4.460000000000002,-2.620413873138035
4.465000000000003,-2.637087867477209
4.470000000000002,-2.653881659727555
4.475000000000002,-2.670796215167904
4.480000000000002,-2.687832507657050
4.485000000000002,-2.704991519723078
4.490000000000002,-2.722274242654053
4.495000000000002,-2.739681676589996
4.500000000000002,-2.757214830616201
4.505000000000003,-2.774874722857982
4.510000000000003,-2.792662380576809
4.515000000000002,-2.810578840267875
4.520000000000002,-2.828625147759128
4.525000000000002,-2.846802358311897
4.530000000000002,-2.865111536722945
4.535000000000002,-2.883553757428198
4.540000000000002,-2.902130104608054
4.545000000000003,-2.920841672294317
4.550000000000003,-2.939689564478890
4.555000000000002,-2.958674895224151
4.560000000000002,-2.977798788775078
4.565000000000002,-2.997062379673300
