F [GHz],dB(S11)
4.000000000000002,-2.638696067604647
4.005000000000002,-2.642390336221520
4.010000000000002,-2.646118036506642
4.015000000000002,-2.649879380091319
4.020000000000002,-2.653674580817180
4.025000000000002,-2.657503854761462
4.030000000000002,-2.661367420262637
4.035000000000002,-2.665265497946352
4.040000000000002,-2.669198310751797
4.045000000000002,-2.673166083958340
4.050000000000002,-2.677169045212597
4.055000000000002,-2.681207424555862
4.060000000000002,-2.685281454451866
4.065000000000002,-2.689391369814991
4.070000000000002,-2.693537408038820
4.075000000000002,-2.697719809025098
4.080000000000002,-2.701938815213102
4.085000000000002,-2.706194671609396
4.090000000000002,-2.710487625818043
4.095000000000002,-2.714817928071190
4.100000000000002,-2.719185831260104
4.105000000000002,-2.723591590966652
4.110000000000002,-2.728035465495193
4.115000000000002,-2.732517715904947
4.120000000000002,-2.737038606042815
4.125000000000002,-2.741598402576646
4.130000000000002,-2.746197375028977
4.135000000000002,-2.750835795811290
4.140000000000002,-2.755513940258684
4.145000000000002,-2.760232086665117
4.150000000000002,-2.764990516319090
4.155000000000002,-2.769789513539882
4.160000000000002,-2.774629365714287
4.165000000000002,-2.779510363333858
4.170000000000002,-2.784432800032740
4.175000000000002,-2.789396972625994
4.180000000000002,-2.794403181148509
4.185000000000002,-2.799451728894444
4.190000000000002,-2.804542922457300
4.195000000000002,-2.809677071770504
4.200000000000002,-2.814854490148631
4.205000000000002,-2.820075494329214
4.210000000000002,-2.825340404515174
4.215000000000002,-2.830649544417847
4.220000000000002,-2.836003241300670
4.225000000000002,-2.841401826023509
4.230000000000002,-2.846845633087620
4.235000000000002,-2.852335000681292
4.240000000000002,-2.857870270726160
4.245000000000002,-2.863451788924214
4.250000000000002,-2.869079904805499
4.255000000000002,-2.874754971776524
4.260000000000003,-2.880477347169403
4.265000000000002,-2.886247392291731
4.270000000000002,-2.892065472477211
4.275000000000002,-2.897931957137028
4.280000000000002,-2.903847219812010
4.285000000000002,-2.909811638225599
4.290000000000002,-2.915825594337561
4.295000000000002,-2.921889474398588
4.300000000000003,-2.928003669005675
4.305000000000002,-2.934168573158380
4.310000000000002,-2.940384586315900
4.315000000000002,-2.946652112455074
4.320000000000002,-2.952971560129230
4.325000000000002,-2.959343342527961
4.330000000000002,-2.965767877537843
4.335000000000002,-2.972245587804036
4.340000000000002,-2.978776900792887
4.345000000000002,-2.985362248855501
4.350000000000002,-2.992002069292271
4.355000000000002,-2.998696804418455
4.360000000000002,-3.005446901630748
4.365000000000002,-3.012252813474918
4.370000000000002,-3.019114997714480
4.375000000000002,-3.026033917400497
4.380000000000002,-3.033010040942434
4.385000000000003,-3.040043842180153
4.390000000000002,-3.047135800457067
4.395000000000002,-3.054286400694430
4.400000000000002,-3.061496133466817
4.405000000000002,-3.068765495078862
4.410000000000002,-3.076094987643111
4.415000000000002,-3.083485119159250
4.420000000000002,-3.090936403594533
4.425000000000003,-3.098449360965532
4.430000000000002,-3.106024517421212
4.435000000000002,-3.113662405327333
4.440000000000002,-3.121363563352254
4.445000000000002,-3.129128536554133
4.450000000000002,-3.136957876469497
4.455000000000002,-3.144852141203366
4.460000000000002,-3.152811895520745
4.465000000000003,-3.160837710939706
4.470000000000002,-3.168930165825989
4.475000000000002,-3.177089845489104
4.480000000000002,-3.185317342280144
4.485000000000002,-3.193613255691111
4.490000000000002,-3.201978192455989
4.495000000000002,-3.210412766653443
4.500000000000002,-3.218917599811273
4.505000000000003,-3.227493321012619
4.510000000000003,-3.236140567003964
4.515000000000002,-3.244859982304931
4.520000000000002,-3.253652219319990
4.525000000000002,-3.262517938452009
4.530000000000002,-3.271457808217794
4.535000000000002,-3.280472505365570
4.540000000000002,-3.289562714994470
4.545000000000003,-3.298729130676114
4.550000000000003,-3.307972454578221
4.555000000000002,-3.317293397590443
4.560000000000002,-3.326692679452298
4.565000000000002,-3.336171028883350
4.570000000000002,-3.345729183715716
4.575000000000002,-3.355367891028777
4.580000000000002,-3.365087907286353
4.585000000000002,-3.374889998476219
4.590000000000003,-3.384774940252139
4.595000000000002,-3.394743518078351
4.600000000000002,-3.404796527376660
4.605000000000002,-3.414934773676113
4.610000000000002,-3.425159072765370
4.615000000000002,-3.435470250847783
4.620000000000002,-3.445869144699274
4.625000000000002,-3.456356601829019
4.630000000000003,-3.466933480643076
4.635000000000003,-3.477600650610947
4.640000000000002,-3.488358992435163
4.645000000000002,-3.499209398223990
4.650000000000002,-3.510152771667239
4.655000000000002,-3.521190028215337
4.660000000000002,-3.532322095261688
4.665000000000002,-3.543549912328369
4.670000000000003,-3.554874431255301
4.675000000000003,-3.566296616392894
4.680000000000002,-3.577817444798298
4.685000000000002,-3.589437906435327
4.690000000000002,-3.601159004378097
4.695000000000002,-3.612981755018551
4.700000000000002,-3.624907188277828
4.705000000000002,-3.636936347821689
4.710000000000003,-3.649070291279989
4.715000000000003,-3.661310090470384
4.720000000000002,-3.673656831626258
4.725000000000002,-3.686111615629060
4.730000000000002,-3.698675558245094
4.735000000000002,-3.711349790366894
4.740000000000002,-3.724135458259270
4.745000000000002,-3.737033723810135
4.750000000000003,-3.750045764786253
4.755000000000003,-3.763172775093948
4.760000000000003,-3.776415965044971
4.765000000000002,-3.789776561627626
4.770000000000002,-3.803255808783236
4.775000000000002,-3.816854967688087
4.780000000000002,-3.830575317041044
4.785000000000002,-3.844418153356877
4.790000000000003,-3.858384791265509
4.795000000000003,-3.872476563817278
4.800000000000003,-3.886694822794407
4.805000000000002,-3.901040939028761
4.810000000000002,-3.915516302726113
4.815000000000002,-3.930122323797037
4.820000000000002,-3.944860432194620
4.825000000000002,-3.959732078259119
